CEST;NCM/SH;Segmento CEST;Item;Descrição CEST
0103900;84219;01. Autopeças;39.0;Partes dos aparelhos para filtrar ou depurar líquidos ou gases
0104000;84241000;01. Autopeças;40.0;Extintores, mesmo carregados
0104100;84213100;01. Autopeças;41.0;Filtros de entrada de ar para motores de ignição por centelha ou por compressão
0104200;84213920;01. Autopeças;42.0;Depuradores por conversão catalítica de gases de escape
0104300;84254200;01. Autopeças;43.0;Macacos
0104400;84311010;01. Autopeças;44.0;Partes para macacos do CEST 01.043.00
0104500;8431492;01. Autopeças;45.0;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
0104501;84339090;01. Autopeças;45.1;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
0104600;84811000;01. Autopeças;46.0;Válvulas redutoras de pressão
0104700;84812;01. Autopeças;47.0;Válvulas para transmissão óleo-hidráulicas ou pneumáticas
0104800;84818092;01. Autopeças;48.0;Válvulas solenóides
0104900;8482;01. Autopeças;49.0;Rolamentos
0105000;8483;01. Autopeças;50.0;"Árvores de transmissão (incluídas as árvores de ""cames""e virabrequins) e manivelas; mancais e ""bronzes""; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação"
0105100;8484;01. Autopeças;51.0;"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)"
0105200;850520;01. Autopeças;52.0;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos
0105300;850710;01. Autopeças;53.0;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão
0105400;8511;01. Autopeças;54.0;"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores"
0105500;851220;01. Autopeças;55.0;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
0105500;851240;01. Autopeças;55.0;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
0105500;85129000;01. Autopeças;55.0;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
0105600;85171213;01. Autopeças;56.0;Telefones móveis do tipo dos utilizados em veículos automóveis.
0105700;8518;01. Autopeças;57.0;Alto-falantes, amplificadores elétricos de audiofrequência e partes
0105800;85185000;01. Autopeças;58.0;Aparelhos elétricos de amplificação de som para veículos automotores
0105900;851981;01. Autopeças;59.0;Aparelhos de reprodução de som
0106000;8525501;01. Autopeças;60.0;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)
0106000;85256010;01. Autopeças;60.0;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)
0106100;85272;01. Autopeças;61.0;Aparelhos receptores de radiodifusão que só funcionam com fonte externa de energia, exceto os classificados na posição 8527.21.90
0106200;85272190;01. Autopeças;62.0;Outros aparelhos receptores de radiodifusão que funcionem como fonte externa de energia, dos tipos utilizados exclusivamente em veículos automotores
0106201;85219090;01. Autopeças;62.1;Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores
0106300;85291090;01. Autopeças;63.0;Antenas
0106400;853400;01. Autopeças;64.0;Circuitos impressos
0106500;853530;01. Autopeças;65.0;Interruptores e seccionadores e comutadores
0106500;853650;01. Autopeças;65.0;Interruptores e seccionadores e comutadores
0106600;85361000;01. Autopeças;66.0;Fusíveis e corta-circuitos de fusíveis
0106700;85362000;01. Autopeças;67.0;Disjuntores
0106800;85364;01. Autopeças;68.0;Relés
0106900;8538;01. Autopeças;69.0;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00
0107000;853910;01. Autopeças;70.0;Faróis e projetores, em unidades seladas
0107100;85392;01. Autopeças;71.0;Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos
0107200;85442000;01. Autopeças;72.0;Cabos coaxiais e outros condutores elétricos coaxiais
0107300;85443000;01. Autopeças;73.0;Jogos de fios para velas de ignição e outros jogos de fios
0107400;8707;01. Autopeças;74.0;Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas
0107500;8708;01. Autopeças;75.0;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
0107600;87141;01. Autopeças;76.0;Parte e acessórios de motocicletas (incluídos os ciclomotores)
0107700;87169090;01. Autopeças;77.0;Engates para reboques e semi-reboques
0107800;902610;01. Autopeças;78.0;"Medidores de nível; Medidores de vazão"
0107900;902620;01. Autopeças;79.0;Aparelhos para medida ou controle da pressão
0108000;9029;01. Autopeças;80.0;Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios
0108100;90303321;01. Autopeças;81.0;Amperímetros
0108200;90318040;01. Autopeças;82.0;Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)
0108300;9032892;01. Autopeças;83.0;Controladores eletrônicos
0108400;91040000;01. Autopeças;84.0;Relógios para painéis de instrumentos e relógios semelhantes
0108500;94012000;01. Autopeças;85.0;Assentos e partes de assentos
0108500;94019090;01. Autopeças;85.0;Assentos e partes de assentos
0108600;96138000;01. Autopeças;86.0;Acendedores
0108700;4009;01. Autopeças;87.0;Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios
0108800;45049000;01. Autopeças;88.0;Juntas de vedação de cortiça natural e de amianto
0108800;68129910;01. Autopeças;88.0;Juntas de vedação de cortiça natural e de amianto
0108900;48234000;01. Autopeças;89.0;Papel-diagrama para tacógrafo, em disco
0109000;39191000;01. Autopeças;90.0;"Fitas, tiras, adesivos, auto-colantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"
0109000;39199000;01. Autopeças;90.0;"Fitas, tiras, adesivos, auto-colantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"
0109000;87082999;01. Autopeças;90.0;"Fitas, tiras, adesivos, auto-colantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"
0109100;84123110;01. Autopeças;91.0;Cilindros pneumáticos
0109200;84131900;01. Autopeças;92.0;Bomba elétrica de lavador de para-brisa
0109200;84135090;01. Autopeças;92.0;Bomba elétrica de lavador de para-brisa
0109200;84138100;01. Autopeças;92.0;Bomba elétrica de lavador de para-brisa
0109300;84136019;01. Autopeças;93.0;Bomba de assistência de direção hidráulica
0109300;84137010;01. Autopeças;93.0;Bomba de assistência de direção hidráulica
0109400;84145910;01. Autopeças;94.0;Motoventiladores
0109400;84145990;01. Autopeças;94.0;Motoventiladores
0109500;84213990;01. Autopeças;95.0;Filtros de pólen do ar-condicionado
0109600;85011019;01. Autopeças;96.0;"""Máquina"" de vidro elétrico de porta"
0109700;85013110;01. Autopeças;97.0;Motor de limpador de para-brisa
0109800;85045000;01. Autopeças;98.0;Bobinas de reatância e de auto-indução
0109900;850720;01. Autopeças;99.0;Baterias de chumbo e de níquel-cádmio
0109900;850730;01. Autopeças;99.0;Baterias de chumbo e de níquel-cádmio
0110000;85123000;01. Autopeças;100.0;Aparelhos de sinalização acústica (buzina)
0110100;9032898;01. Autopeças;101.0;Instrumentos para regulação de grandezas não elétricas
0110100;9032899;01. Autopeças;101.0;Instrumentos para regulação de grandezas não elétricas
0110200;90271000;01. Autopeças;102.0;Analisadores de gases ou de fumaça (sonda lambda)
0110300;40081100;01. Autopeças;103.0;Perfilados de borracha vulcanizada não endurecida
0110400;56012219;01. Autopeças;104.0;Artefatos de pasta de fibra de uso automotivo
0110500;57032000;01. Autopeças;105.0;Tapetes/carpetes - nailón
0110600;57033000;01. Autopeças;106.0;Tapetes de matérias têxteis sintéticas
0110700;59119000;01. Autopeças;107.0;Forração interior capacete
0110800;69039099;01. Autopeças;108.0;Outros para-brisas
0110900;70072900;01. Autopeças;109.0;Moldura com espelho
0111000;73145000;01. Autopeças;110.0;Corrente de transmissão
0111100;73151100;01. Autopeças;111.0;Corrente transmissão
0111200;73151210;01. Autopeças;112.0;Outras correntes de transmissão
0111300;84189900;01. Autopeças;113.0;Condensador tubular metálico
0111400;841950;01. Autopeças;114.0;Trocadores de calor
0111500;84249090;01. Autopeças;115.0;Partes de aparelhos mecânicos de pulverizar ou dispersar
0111600;84254910;01. Autopeças;116.0;Macacos manuais para veículos
0111700;84314100;01. Autopeças;117.0;Caçambas, pás, ganchos e tenazes para máquinas rodoviárias
0111800;85016100;01. Autopeças;118.0;Geradores de corrente alternada de potência não superior a 75 kva
0111900;85311090;01. Autopeças;119.0;Aparelhos elétricos para alarme de uso automotivo
0112000;90141000;01. Autopeças;120.0;Bússolas
0112100;90251990;01. Autopeças;121.0;Indicadores de temperatura
0112200;90259010;01. Autopeças;122.0;Partes de indicadores de temperatura
0112300;902690;01. Autopeças;123.0;Partes de aparelhos de medida ou controle
0112400;90321010;01. Autopeças;124.0;Termostatos
0112500;90321090;01. Autopeças;125.0;Instrumentos e aparelhos para regulação
0112600;90322000;01. Autopeças;126.0;Pressostatos
0112700;871690;01. Autopeças;127.0;Peças para reboques e semi-reboques, exceto os itens classificados no CEST 01.077.00
0112800;73229010;01. Autopeças;128.0;Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis
0199900;;01. Autopeças;999.0;Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo
0200100;2205;02. Bebidas alcoólicas, exceto cerveja e chope;1.0;Aperitivos, amargos, bitter e similares
0200100;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;1.0;Aperitivos, amargos, bitter e similares
0200200;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;2.0;Batida e similares
0200300;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;3.0;Bebida ice
0200400;220720;02. Bebidas alcoólicas, exceto cerveja e chope;4.0;Cachaça e aguardentes
0200400;22084000;02. Bebidas alcoólicas, exceto cerveja e chope;4.0;Cachaça e aguardentes
0200500;2205;02. Bebidas alcoólicas, exceto cerveja e chope;5.0;Catuaba e similares
0200500;22060090;02. Bebidas alcoólicas, exceto cerveja e chope;5.0;Catuaba e similares
0200500;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;5.0;Catuaba e similares
0200600;22082000;02. Bebidas alcoólicas, exceto cerveja e chope;6.0;Conhaque, brandy e similares
0200700;22060090;02. Bebidas alcoólicas, exceto cerveja e chope;7.0;Cooler
0200700;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;7.0;Cooler
0200800;22085000;02. Bebidas alcoólicas, exceto cerveja e chope;8.0;Gim (gin) e genebra
0200900;2205;02. Bebidas alcoólicas, exceto cerveja e chope;9.0;Jurubeba e similares
0200900;22060090;02. Bebidas alcoólicas, exceto cerveja e chope;9.0;Jurubeba e similares
0200900;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;9.0;Jurubeba e similares
0201000;22087000;02. Bebidas alcoólicas, exceto cerveja e chope;10.0;Licores e similares
0201100;22082000;02. Bebidas alcoólicas, exceto cerveja e chope;11.0;Pisco
0201200;22084000;02. Bebidas alcoólicas, exceto cerveja e chope;12.0;Rum
0201300;22060090;02. Bebidas alcoólicas, exceto cerveja e chope;13.0;Saque
0201400;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;14.0;Steinhaeger
0201500;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;15.0;Tequila
0201600;220830;02. Bebidas alcoólicas, exceto cerveja e chope;16.0;Uísque
0201700;2205;02. Bebidas alcoólicas, exceto cerveja e chope;17.0;Vermute e similares
0201800;22086000;02. Bebidas alcoólicas, exceto cerveja e chope;18.0;Vodka
0201900;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;19.0;Derivados de vodka
0202000;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;20.0;Arak
0202100;22082000;02. Bebidas alcoólicas, exceto cerveja e chope;21.0;Aguardente vínica / grappa
0202200;22060010;02. Bebidas alcoólicas, exceto cerveja e chope;22.0;Sidra e similares
0202300;2205;02. Bebidas alcoólicas, exceto cerveja e chope;23.0;Sangrias e coquetéis
0202300;22060090;02. Bebidas alcoólicas, exceto cerveja e chope;23.0;Sangrias e coquetéis
0202300;22089000;02. Bebidas alcoólicas, exceto cerveja e chope;23.0;Sangrias e coquetéis
0202400;2204;02. Bebidas alcoólicas, exceto cerveja e chope;24.0;"Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas."
0299900;2205;02. Bebidas alcoólicas, exceto cerveja e chope;999.0;Outras bebidas alcoólicas não especificadas nos itens anteriores
0299900;2206;02. Bebidas alcoólicas, exceto cerveja e chope;999.0;Outras bebidas alcoólicas não especificadas nos itens anteriores
0299900;2207;02. Bebidas alcoólicas, exceto cerveja e chope;999.0;Outras bebidas alcoólicas não especificadas nos itens anteriores
0299900;2208;02. Bebidas alcoólicas, exceto cerveja e chope;999.0;Outras bebidas alcoólicas não especificadas nos itens anteriores
0300100;22011000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;1.0;Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml
0300200;22011000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;2.0;Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml
0300300;22011000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;3.0;Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml
0300400;22011000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;4.0;Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml
0300500;22011000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;5.0;Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml
0300600;22019000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;6.0;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas
0300700;22021000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;7.0;Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes
0300800;22029000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;8.0;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente
0301000;2202;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;10.0;Refrigerante em garrafa com capacidade igual ou superior a 600 ml
0301100;2202;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;11.0;Demais refrigerantes
0301200;21069010;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;12.0;"Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina ""pré-mix""ou ""post-mix"""
0301300;22029000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;13.0;Bebidas energéticas em embalagem com capacidade inferior a 600ml
0301300;210690;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;13.0;Bebidas energéticas em embalagem com capacidade inferior a 600ml
0301400;22029000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;14.0;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml
0301400;210690;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;14.0;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml
0301500;22029000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;15.0;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml
0301500;210690;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;15.0;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml
0301600;21069090;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;16.0;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml
0301600;210690;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;16.0;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml
0302100;22030000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;21.0;Cerveja
0302200;22029000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;22.0;Cerveja sem álcool
0302300;22030000;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;23.0;Chope
0400100;2402;04. Cigarros e outros produtos derivados do fumo;1.0;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos
0400200;24031;04. Cigarros e outros produtos derivados do fumo;2.0;Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção
0500100;2523;05. Cimentos;1.0;Cimento
0600100;220710;06. Combustíveis e lubrificantes;1.0;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol (álcool etílico anidro combustível e álcool etílico hidratado combustível)
0600200;27101259;06. Combustíveis e lubrificantes;2.0;Gasolinas, exceto de aviação
0600300;27101251;06. Combustíveis e lubrificantes;3.0;Gasolina de aviação
0600400;27101919;06. Combustíveis e lubrificantes;4.0;Querosenes, exceto de aviação
0600500;27101911;06. Combustíveis e lubrificantes;5.0;Querosene de aviação
0600600;2710192;06. Combustíveis e lubrificantes;6.0;Óleos combustíveis
0600700;2710193;06. Combustíveis e lubrificantes;7.0;Óleos lubrificantes
0600800;2710199;06. Combustíveis e lubrificantes;8.0;Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de inerais betuminosos, exceto os que contenham biodiesel e exceto os resíduos de óleos
0600900;27109;06. Combustíveis e lubrificantes;9.0;Resíduos de óleos
0601000;2711;06. Combustíveis e lubrificantes;10.0;Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN e Gás Natural
0601100;27111910;06. Combustíveis e lubrificantes;11.0;Gás Liquefeito de Petróleo (GLP)
0601200;27111100;06. Combustíveis e lubrificantes;12.0;Gás Liquefeito de Gás Natural (GLGN)
0601300;27112100;06. Combustíveis e lubrificantes;13.0;Gás Natural
0601400;2713;06. Combustíveis e lubrificantes;14.0;Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos
0601500;38260000;06. Combustíveis e lubrificantes;15.0;Biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos
0601600;3403;06. Combustíveis e lubrificantes;16.0;Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos
0601700;27102000;06. Combustíveis e lubrificantes;17.0;Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos
0700100;27160000;07. Energia elétrica;1.0;Energia elétrica
0800100;40169990;08. Ferramentas;1.0;Ferramentas de borracha vulcanizada não endurecida
0800200;44170010;08. Ferramentas;2.0;Ferramentas, armações e cabos de ferramentas, de madeira
0800200;44170090;08. Ferramentas;2.0;Ferramentas, armações e cabos de ferramentas, de madeira
0800300;6804;08. Ferramentas;3.0;"Mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmica, mesmo com partes de outras matérias"
0800400;8201;08. Ferramentas;4.0;"Pás, alviões, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras; machados, podões e ferramentas semelhantes com gume; tesouras de podar de todos os tipos; foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura"
0800500;82022000;08. Ferramentas;5.0;Folhas de serras de fita
0800600;82029100;08. Ferramentas;6.0;Lâminas de serras máquinas
0800700;8202;08. Ferramentas;7.0;Serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serras), exceto as classificadas nos CEST 08.005.00 e 08.006.00
0800800;8203;08. Ferramentas;8.0;Limas, grosas, alicates (mesmo cortantes), tenazes, pinças, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pinças para sobrancelhas classificadas na posição 8203.20.90
0800900;8204;08. Ferramentas;9.0;"Chaves de porcas, manuais (incluídas as chaves dinamométricas); chaves de caixa intercambiáveis, mesmo com cabos"
0801000;8205;08. Ferramentas;10.0;"Ferramentas manuais (incluídos os diamantes de vidraceiro) não especificadas nem compreendidas em outras posições, lamparinas ou lâmpadas de soldar (maçaricos) e semelhantes; tornos de apertar, sargentos e semelhantes, exceto os acessórios ou partes de máquinas-ferramentas; bigornas; forjas-portáteis; mós com armação, manuais ou de pedal"
0801100;82060000;08. Ferramentas;11.0;Ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho
0801200;820740;08. Ferramentas;12.0;"Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar"
0801200;820760;08. Ferramentas;12.0;"Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar"
0801200;820770;08. Ferramentas;12.0;"Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar"
